                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4639,                 1.1906,                 1.3432,                  1.619,                 1.5061,                  1.295,                0.32291,                0.28846,                0.28222,                0.15011,                 1.6812,                 1.3581,                 1.3971,                 1.9192,                 1.7703,                  1.351,             0.00086902,             0.00086902,             0.00086902
                     25,                  1.454,                 1.1864,                 1.3366,                 1.6141,                 1.5092,                 1.2901,                0.37799,                0.31526,                0.29798,                0.15716,                 1.7491,                 1.3704,                 1.4118,                  1.948,                 1.7815,                 1.3567,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.4445,                 1.1647,                 1.3247,                 1.6056,                 1.4752,                 1.2836,                0.52822,                0.31678,                 0.3035,                0.16644,                 1.6645,                 1.3664,                 1.3718,                 1.9044,                 1.8057,                 1.3271,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.4433,                 1.1575,                  1.321,                 1.6073,                 1.4634,                 1.2804,                0.43134,                0.28387,                0.26899,                0.13992,                 1.8507,                 1.6828,                 1.4691,                 2.0172,                 2.1724,                 1.4029,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.4255,                 1.1393,                 1.3149,                 1.5891,                 1.4355,                 1.2794,                0.51829,                0.22876,                0.24931,                0.13987,                 1.8502,                 1.7919,                 1.5069,                 2.0749,                 2.4043,                  1.453,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.4165,                 1.1331,                 1.3072,                 1.5831,                 1.4321,                 1.2696,                0.56788,                0.31519,                0.32746,                0.18431,                 1.6646,                 1.3194,                 1.3659,                 1.8785,                 1.7298,                 1.3259,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.4028,                 1.1132,                 1.3028,                 1.5635,                 1.4022,                 1.2645,                0.48931,                0.34989,                0.35402,                0.19182,                 1.6674,                 1.2781,                 1.3753,                 1.8554,                 1.6783,                 1.3053,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.4028,                  1.117,                 1.2979,                 1.5657,                 1.4077,                 1.2636,                0.59813,                0.30431,                0.34307,                0.18138,                 1.7023,                 1.2791,                 1.3641,                 1.9087,                 1.6774,                 1.3175,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.3915,                 1.1039,                  1.295,                 1.5502,                 1.3914,                 1.2637,                 0.3756,                0.23752,                0.23711,                 0.1285,                  1.892,                 1.5718,                 1.5118,                 2.0836,                 2.1452,                 1.4437,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.3818,                 1.0988,                 1.3003,                 1.5416,                 1.3792,                 1.2707,                0.44507,                0.24751,                0.26704,                0.14629,                 1.8519,                 1.5471,                 1.4735,                 2.0644,                 2.1125,                 1.4231,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.3813,                  1.088,                 1.2823,                 1.5473,                 1.3594,                 1.2565,                0.40855,                0.36107,                0.35249,                0.19329,                 1.6572,                 1.2265,                 1.3437,                 1.8954,                 1.5947,                 1.3264,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.3735,                 1.0802,                 1.2731,                 1.5444,                 1.3654,                 1.2432,                0.45362,                0.36357,                0.33349,                0.18374,                 1.6415,                 1.2908,                 1.3388,                 1.8783,                 1.6783,                 1.3301,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.3762,                 1.0764,                  1.274,                 1.5589,                 1.3673,                 1.2425,                0.32889,                 0.3436,                0.33467,                0.17514,                 1.6209,                 1.2266,                 1.3331,                 1.8267,                 1.6276,                  1.293,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.3601,                 1.0608,                   1.27,                 1.5295,                 1.3389,                 1.2418,                0.46415,                0.32526,                0.31988,                0.16723,                 1.8233,                 1.4628,                 1.4625,                 2.0347,                  1.892,                 1.4119,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.3621,                  1.065,                 1.2691,                 1.5358,                  1.343,                 1.2427,                0.57588,                0.32528,                0.36749,                0.20309,                 1.6118,                 1.2193,                 1.3352,                 1.8529,                  1.562,                 1.3038,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.3561,                 1.0545,                 1.2691,                 1.5209,                 1.3299,                 1.2437,                 0.5366,                0.32459,                0.36115,                0.20524,                 1.6157,                 1.2671,                 1.3349,                 1.8395,                  1.623,                 1.3019,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.3432,                 1.0485,                 1.2593,                 1.5201,                 1.3176,                 1.2353,                0.54221,                0.33193,                0.37251,                0.20607,                 1.6175,                 1.2395,                 1.3367,                 1.8535,                 1.6009,                 1.3102,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.3466,                 1.0424,                 1.2611,                 1.5197,                 1.3026,                 1.2375,                0.48282,                0.35152,                0.35725,                0.19169,                 1.6717,                 1.2464,                 1.3645,                 1.8986,                 1.5596,                 1.3197,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.3439,                 1.0449,                 1.2633,                 1.5206,                 1.3055,                 1.2383,                0.55487,                0.34887,                0.37105,                0.19651,                 1.6349,                 1.2036,                 1.3251,                 1.8824,                 1.5595,                 1.3055,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.3324,                  1.039,                 1.2611,                  1.502,                 1.2976,                 1.2388,                0.56275,                0.33286,                0.37268,                0.19987,                 1.6316,                 1.2597,                 1.3463,                 1.8921,                  1.623,                 1.3304,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.3292,                 1.0253,                 1.2538,                 1.5054,                 1.2776,                 1.2321,                0.50188,                0.35055,                0.36576,                0.19154,                 1.7215,                 1.2804,                 1.3761,                 1.9837,                 1.6463,                 1.3576,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.3307,                 1.0119,                 1.2433,                 1.5079,                 1.2691,                 1.2221,                0.41258,                0.34674,                0.32876,                0.16972,                 1.6997,                 1.3052,                 1.3664,                 1.9127,                 1.7247,                 1.3116,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.3328,                 1.0259,                 1.2544,                  1.501,                 1.2828,                 1.2337,                0.59081,                0.34719,                0.38504,                0.21169,                 1.5773,                 1.1977,                 1.3236,                 1.8178,                 1.5536,                 1.2937,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.3271,                 1.0082,                  1.245,                 1.5074,                 1.2682,                 1.2221,                0.48868,                 0.3736,                0.39552,                0.22253,                  1.591,                 1.1937,                 1.3198,                 1.8044,                 1.5105,                 1.2998,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.3137,                0.99877,                  1.238,                 1.4952,                 1.2438,                 1.2189,                 0.5163,                0.36603,                0.39191,                0.21401,                 1.5955,                 1.1881,                 1.3104,                 1.8456,                 1.5089,                 1.2864,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.3211,                 1.0081,                 1.2379,                 1.5003,                 1.2676,                 1.2152,                 0.5369,                0.37927,                 0.3844,                0.21437,                 1.6305,                 1.2298,                 1.3213,                  1.878,                  1.583,                 1.3066,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.3091,                0.99493,                  1.241,                 1.4854,                 1.2452,                 1.2194,                0.51063,                0.37745,                0.38797,                0.21672,                 1.5917,                 1.2007,                  1.318,                 1.8476,                 1.5084,                 1.3018,             0.00058305,             0.00058305,             0.00058305
