                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8941,                 4.2285,                 3.8723,                 3.6756,                 6.0023,                 3.8594,                0.00143,                0.03331,                 0.0022,                 0.0007,                 3.5413,                 4.3852,                  3.541,                 3.4103,                 7.6124,                 3.3505,             0.00036759,             0.00036759,             0.00036759
                      2,                 2.7957,                 2.9468,                 2.5476,                 2.6823,                 3.6438,                 2.2472,                0.47836,                0.02826,                0.03222,                0.01308,                 2.7257,                  3.619,                 2.1523,                 2.6748,                 4.9901,                 1.9439,             0.00073062,             0.00073062,             0.00073062
                      3,                 2.2983,                 2.3469,                 2.0187,                 2.2919,                 2.9285,                 1.7897,                0.50602,                0.06468,                0.07485,                0.03407,                 2.2657,                 2.3589,                 1.7915,                 2.4511,                 3.1274,                 1.6982,              0.0010863,              0.0010863,              0.0010863
                      4,                 2.0599,                 1.9921,                 1.7694,                 2.1249,                 2.4978,                 1.5873,                0.35289,                0.12972,                0.10589,                0.04698,                 2.1158,                 2.2429,                  1.714,                 2.2767,                 2.9384,                 1.5664,               0.001078,               0.001078,               0.001078
                      5,                 1.9475,                 1.8422,                 1.6678,                 2.0489,                 2.3072,                 1.5149,                0.26162,                0.16063,                0.14742,                0.07039,                 2.0387,                 1.8528,                 1.5987,                 2.2277,                 2.4537,                 1.4964,               0.001078,               0.001078,               0.001078
                      6,                 1.8421,                 1.6745,                 1.5762,                 1.9627,                 2.1173,                 1.4466,                0.46456,                0.17145,                0.17774,                0.07959,                  1.987,                 1.8691,                 1.5604,                 2.1601,                 2.5776,                 1.4501,               0.001067,               0.001067,               0.001067
                      7,                  1.766,                 1.5953,                 1.5248,                 1.8936,                 2.0304,                  1.412,                0.30373,                0.17197,                0.18704,                0.09385,                 1.8532,                 1.6816,                 1.4844,                 2.0704,                 2.2259,                 1.3943,               0.001056,               0.001056,               0.001056
                      8,                 1.7266,                 1.5324,                 1.4921,                 1.8783,                 1.9522,                 1.3854,                0.35488,                0.22841,                0.22727,                0.10601,                  1.883,                 1.6257,                 1.4714,                 2.0745,                 2.1862,                 1.3857,               0.001045,               0.001045,               0.001045
                      9,                 1.6619,                 1.4347,                 1.4426,                 1.8206,                 1.8476,                 1.3482,                0.27845,                0.24199,                0.21312,                0.10386,                 1.8155,                  1.563,                 1.4561,                 2.0221,                 2.0936,                 1.3828,               0.001034,               0.001034,               0.001034
                     10,                 1.6237,                 1.4019,                 1.4199,                 1.7876,                 1.8095,                 1.3342,                  0.337,                0.23609,                0.22671,                0.11482,                 1.7976,                 1.5344,                 1.4402,                 2.0505,                 2.0048,                 1.3772,               0.001023,               0.001023,               0.001023
                     11,                  1.601,                 1.3627,                 1.4012,                 1.7682,                 1.7522,                 1.3181,                0.33223,                 0.2815,                0.23945,                0.11978,                 1.7586,                 1.5057,                 1.4084,                 2.0041,                 1.9643,                 1.3417,               0.001012,               0.001012,               0.001012
                     12,                 1.5888,                 1.3318,                 1.3856,                 1.7714,                 1.7153,                 1.3103,                0.30649,                0.28895,                0.25864,                0.12786,                 1.8017,                 1.3878,                   1.41,                 2.0405,                  1.812,                 1.3566,               0.001001,               0.001001,               0.001001
                     13,                 1.5501,                 1.2873,                 1.3504,                 1.7352,                 1.6588,                 1.2852,                0.29096,                0.26609,                 0.2424,                0.11933,                   1.78,                 1.5217,                 1.3936,                 2.0295,                 1.9644,                 1.3392,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.5321,                 1.2668,                 1.3426,                 1.7224,                 1.6408,                 1.2824,                0.37268,                0.24614,                0.26033,                0.13393,                 1.8162,                 1.4495,                 1.4059,                  2.027,                 1.9225,                 1.3384,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.5175,                 1.2434,                 1.3334,                 1.7102,                 1.6002,                 1.2738,                0.36532,                0.25579,                0.27205,                 0.1314,                 1.7978,                 1.3832,                 1.3925,                 2.0189,                  1.814,                 1.3521,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.4926,                 1.2071,                 1.3106,                 1.6943,                 1.5639,                 1.2609,                0.35103,                0.30628,                0.29366,                0.14893,                 1.6995,                 1.3359,                  1.347,                 1.9672,                 1.7437,                 1.3129,             0.00095702,             0.00095702,             0.00095702
