                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.4894,                 1.2124,                 1.3162,                 1.6836,                 1.5618,                 1.2665,                0.37619,                0.30026,                0.29728,                0.15264,                 1.6954,                 1.3483,                 1.3404,                 1.9598,                 1.7388,                   1.29,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.4613,                 1.1723,                 1.2945,                 1.6634,                 1.5175,                 1.2457,                0.32483,                0.32536,                0.30133,                0.15748,                  1.681,                 1.3093,                 1.3365,                 1.9612,                 1.7111,                 1.3128,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.4593,                 1.1723,                 1.2902,                 1.6634,                 1.5186,                 1.2437,                0.35081,                 0.2945,                0.31077,                0.15882,                 1.6873,                 1.3058,                 1.3284,                 1.9441,                 1.7703,                 1.2896,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.4446,                 1.1476,                 1.2776,                 1.6466,                 1.4847,                 1.2344,                0.38185,                0.29813,                0.30165,                0.15127,                 1.6741,                 1.3034,                 1.3248,                 1.9504,                 1.7193,                 1.2981,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.4261,                 1.1375,                 1.2712,                 1.6274,                 1.4756,                 1.2323,                0.36471,                0.32813,                0.31122,                0.16323,                   1.63,                 1.2769,                 1.2882,                 1.9236,                 1.6991,                 1.2841,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.4175,                 1.1255,                 1.2634,                 1.6266,                  1.457,                 1.2312,                0.42617,                0.29882,                0.33102,                0.16612,                 1.6155,                 1.2417,                 1.2708,                 1.9392,                  1.611,                 1.2607,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.3948,                  1.096,                 1.2481,                 1.6087,                 1.4224,                 1.2184,                0.40292,                0.29913,                0.32625,                0.17074,                 1.6623,                 1.2203,                 1.3012,                 1.9349,                 1.6273,                  1.268,             0.00088002,             0.00088002,             0.00088002
                     24,                  1.401,                  1.091,                 1.2506,                 1.6086,                 1.4107,                 1.2177,                0.36965,                0.32561,                0.33241,                0.16951,                 1.6193,                 1.2331,                 1.2986,                   1.93,                 1.6191,                 1.2811,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.3893,                 1.0853,                 1.2423,                 1.6029,                 1.4136,                 1.2111,                0.37799,                0.33765,                0.33761,                0.17729,                 1.5932,                 1.1839,                 1.2676,                 1.8896,                 1.5444,                 1.2418,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.3749,                 1.0665,                 1.2303,                 1.5877,                 1.3786,                  1.205,                0.44681,                0.29956,                0.33072,                0.17352,                 1.6117,                 1.2152,                 1.2711,                 1.9152,                 1.6218,                 1.2644,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.3789,                 1.0591,                 1.2287,                 1.5887,                 1.3663,                 1.1985,                0.64661,                0.30748,                0.35078,                0.17831,                 1.6307,                 1.2432,                 1.2971,                 1.9365,                 1.6326,                 1.2864,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.3674,                 1.0485,                 1.2246,                 1.5769,                 1.3556,                 1.2015,                 0.4638,                0.30819,                0.35193,                0.18563,                   1.56,                 1.1798,                 1.2449,                 1.8899,                 1.5272,                 1.2581,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.3536,                 1.0401,                 1.2155,                 1.5719,                 1.3489,                 1.1936,                0.47992,                0.36469,                0.36586,                0.19522,                 1.5779,                 1.1717,                 1.2546,                 1.8558,                 1.5612,                 1.2489,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.3402,                 1.0275,                 1.2129,                 1.5475,                  1.326,                 1.1878,                0.49346,                0.34902,                0.36791,                0.19332,                 1.5324,                 1.1632,                 1.2362,                 1.8701,                 1.5318,                 1.2437,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.3357,                 1.0228,                 1.2064,                 1.5496,                 1.3243,                 1.1868,                0.53506,                0.34325,                0.38169,                0.19749,                 1.5876,                 1.1484,                 1.2527,                 1.8937,                 1.5277,                 1.2555,             0.00079203,             0.00079203,             0.00079203
                     32,                  1.332,                 1.0169,                 1.2064,                 1.5378,                 1.3125,                 1.1864,                0.51249,                0.34298,                0.38237,                0.19462,                 1.5932,                 1.1557,                 1.2509,                 1.9062,                 1.4663,                 1.2667,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.3217,                 1.0081,                  1.208,                 1.5334,                  1.299,                 1.1892,                0.57757,                0.37123,                0.40377,                0.20829,                 1.5917,                  1.131,                 1.2647,                 1.8559,                 1.5166,                 1.2523,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.3269,                0.99712,                 1.1988,                 1.5398,                 1.2842,                 1.1789,                0.42216,                 0.3738,                0.38188,                0.20466,                  1.544,                 1.1229,                 1.2404,                 1.8591,                 1.4784,                 1.2454,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.3083,                0.98642,                 1.1869,                 1.5331,                 1.2738,                 1.1712,                0.54359,                0.34611,                0.38054,                0.20077,                 1.5757,                 1.1377,                 1.2582,                 1.8474,                  1.502,                 1.2481,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.3148,                0.99289,                 1.1886,                  1.544,                 1.2848,                 1.1703,                  0.493,                0.41298,                0.39427,                0.20739,                 1.5562,                 1.1194,                 1.2371,                 1.8494,                 1.4463,                 1.2392,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.2992,                0.97788,                 1.1829,                 1.5205,                   1.26,                 1.1672,                0.44457,                0.38094,                0.36667,                 0.1878,                 1.6191,                 1.1334,                 1.2794,                 1.9199,                 1.4852,                 1.2685,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.2973,                0.97573,                 1.1781,                 1.5217,                 1.2663,                 1.1655,                0.36716,                0.41754,                0.36907,                0.19668,                  1.559,                 1.1763,                 1.2378,                 1.8624,                 1.5755,                 1.2449,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.2966,                0.97018,                 1.1831,                 1.5122,                 1.2496,                 1.1694,                0.41166,                 0.3986,                0.39223,                0.21383,                 1.5424,                 1.1129,                 1.2344,                 1.8163,                 1.4741,                 1.2358,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.2884,                0.96483,                 1.1743,                 1.5121,                 1.2397,                  1.162,                0.47583,                0.43909,                0.41033,                0.21895,                 1.5111,                 1.0953,                 1.2127,                  1.813,                 1.4768,                 1.2158,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.2888,                0.95727,                 1.1744,                 1.5074,                 1.2312,                 1.1593,                0.52662,                0.39149,                0.41151,                0.21879,                 1.5151,                 1.0793,                 1.2103,                  1.827,                 1.5028,                 1.2317,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.2834,                0.95418,                 1.1755,                 1.5054,                 1.2303,                 1.1625,                0.61959,                0.35893,                0.39854,                0.21103,                 1.5448,                 1.0912,                 1.2213,                 1.8214,                 1.4607,                  1.215,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.2718,                0.95391,                  1.173,                 1.4879,                 1.2282,                 1.1599,                0.48557,                0.39356,                0.41527,                0.21979,                 1.4943,                 1.0737,                 1.1999,                 1.7914,                 1.4654,                 1.2121,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.2689,                0.94126,                 1.1689,                 1.4887,                 1.2128,                 1.1564,                0.39077,                0.41175,                0.39017,                0.20701,                 1.5544,                 1.0831,                 1.2168,                 1.8393,                 1.4718,                  1.225,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.2701,                0.93037,                   1.16,                 1.4965,                 1.1992,                 1.1464,                0.46683,                0.37577,                0.41583,                 0.2265,                 1.5249,                 1.0678,                 1.2117,                  1.811,                 1.4653,                  1.206,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.2736,                0.94312,                 1.1703,                 1.4896,                 1.2106,                 1.1574,                0.46943,                0.34928,                0.39141,                0.21241,                 1.4891,                  1.082,                 1.1923,                  1.765,                 1.4565,                 1.1885,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.2697,                0.92956,                 1.1626,                  1.499,                 1.2015,                   1.15,                0.45371,                0.37102,                0.40225,                0.21696,                 1.5247,                 1.0696,                 1.2028,                 1.7965,                 1.4746,                 1.1926,             0.00061605,             0.00061605,             0.00061605
                     48,                  1.251,                0.91956,                 1.1551,                 1.4723,                 1.1745,                 1.1437,                0.43072,                0.37193,                0.39431,                0.21419,                  1.499,                 1.0851,                 1.2155,                  1.755,                 1.4616,                 1.1934,             0.00060505,             0.00060505,             0.00060505
                     49,                  1.258,                0.92721,                 1.1537,                 1.4848,                 1.1967,                 1.1452,                0.45686,                0.39789,                0.39947,                0.21472,                 1.5077,                 1.0985,                 1.1984,                 1.8006,                 1.4633,                 1.2129,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.2501,                0.91605,                 1.1558,                 1.4712,                 1.1758,                 1.1454,                0.54171,                0.31237,                0.38055,                0.20552,                 1.4972,                  1.092,                 1.1942,                 1.8029,                 1.4576,                  1.211,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.2425,                0.90493,                 1.1497,                 1.4593,                 1.1666,                 1.1437,                0.47945,                0.34868,                0.40005,                0.21987,                 1.5179,                 1.0528,                 1.1973,                 1.7887,                  1.445,                 1.1886,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.2444,                0.90617,                 1.1474,                 1.4723,                 1.1683,                 1.1372,                 0.4759,                0.38553,                0.42198,                0.22197,                 1.4923,                 1.0483,                 1.1948,                 1.7841,                 1.4256,                 1.2063,             0.00056105,             0.00056105,             0.00056105
                     53,                  1.232,                 0.8941,                 1.1405,                 1.4624,                 1.1539,                 1.1326,                0.39087,                0.42809,                0.39606,                0.21762,                  1.496,                 1.0663,                 1.1933,                 1.7582,                  1.458,                 1.1922,             0.00055006,             0.00055006,             0.00055006
                     54,                  1.227,                0.89407,                  1.141,                 1.4509,                 1.1481,                 1.1354,                0.43885,                0.37021,                0.40181,                0.22086,                 1.4891,                 1.0459,                 1.1823,                 1.7549,                 1.4197,                 1.1853,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.2275,                0.88629,                 1.1382,                 1.4455,                 1.1324,                 1.1311,                0.40894,                0.44705,                0.41499,                0.22763,                 1.5061,                 1.0518,                 1.1871,                 1.7779,                 1.4293,                 1.1943,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.2325,                0.89606,                 1.1382,                 1.4551,                  1.152,                 1.1317,                0.43268,                0.40429,                0.42214,                0.22926,                 1.4841,                 1.0214,                 1.1798,                 1.7728,                   1.38,                 1.1849,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.2261,                0.88442,                 1.1356,                 1.4551,                 1.1351,                 1.1303,                0.42487,                0.39236,                0.41131,                0.22306,                 1.5104,                 1.0515,                 1.1853,                 1.7907,                 1.3993,                 1.2006,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.2257,                 0.8858,                 1.1387,                 1.4523,                  1.135,                 1.1331,                 0.7132,                0.34217,                0.40239,                 0.2189,                 1.4954,                 1.0259,                  1.187,                 1.7828,                 1.3818,                 1.1933,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.2209,                0.87364,                 1.1315,                  1.449,                 1.1102,                 1.1259,                0.70202,                 0.3537,                0.42682,                0.22174,                 1.5358,                 1.0463,                 1.2014,                 1.8274,                 1.3791,                 1.2104,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.2251,                0.88056,                 1.1331,                 1.4507,                 1.1255,                 1.1234,                0.51735,                0.39653,                0.42969,                0.23298,                 1.5211,                 1.0486,                 1.1959,                 1.7866,                 1.3847,                 1.2008,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.2181,                0.87221,                 1.1293,                 1.4411,                  1.116,                 1.1239,                0.48749,                0.39479,                0.41742,                0.22702,                 1.5158,                 1.0269,                 1.1915,                 1.7941,                 1.3864,                 1.2034,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.2106,                0.86556,                 1.1274,                 1.4358,                 1.1106,                 1.1223,                0.48887,                0.39537,                0.41191,                0.22383,                 1.5064,                  1.032,                 1.1932,                 1.7778,                 1.3865,                 1.1996,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.2155,                0.86518,                 1.1251,                 1.4507,                 1.1128,                 1.1199,                0.47835,                0.37745,                0.41564,                0.22821,                 1.4753,                 1.0182,                 1.1715,                 1.7657,                 1.4009,                 1.1913,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.2059,                 0.8563,                  1.126,                 1.4343,                 1.0976,                 1.1213,                0.48257,                0.34606,                0.40328,                0.22019,                 1.4923,                 1.0293,                 1.1756,                 1.7764,                 1.3964,                 1.1888,             0.00042907,             0.00042907,             0.00042907
                     65,                  1.202,                0.86153,                  1.125,                 1.4241,                 1.1004,                 1.1196,                0.39673,                0.40545,                0.41085,                0.22456,                 1.5077,                 1.0204,                  1.196,                 1.7859,                 1.3812,                 1.2034,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.2111,                0.86108,                 1.1243,                 1.4407,                 1.1094,                 1.1174,                0.41101,                0.39965,                0.41324,                0.22609,                 1.4834,                 1.0404,                  1.179,                 1.7474,                 1.4025,                 1.1885,             0.00040707,             0.00040707,             0.00040707
                     67,                  1.198,                0.85699,                 1.1241,                 1.4171,                  1.097,                  1.119,                0.45952,                0.40024,                0.41386,                0.22095,                 1.4996,                 1.0278,                 1.1753,                 1.7867,                 1.3873,                 1.2011,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.2044,                0.85276,                 1.1206,                 1.4313,                 1.0874,                  1.117,                0.49919,                0.40687,                0.41768,                0.23264,                 1.4957,                 1.0192,                 1.1766,                 1.7697,                 1.3877,                 1.1935,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.2017,                0.85463,                  1.121,                 1.4324,                 1.0962,                 1.1148,                 0.7086,                0.36089,                0.42354,                0.22822,                 1.5144,                 1.0229,                 1.1903,                 1.7985,                 1.3774,                  1.195,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.1931,                0.84555,                 1.1178,                 1.4167,                 1.0806,                 1.1141,                0.71952,                0.34921,                0.43838,                 0.2415,                 1.4914,                 1.0137,                 1.1731,                 1.7768,                 1.3747,                 1.1809,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.1919,                0.83918,                 1.1134,                 1.4266,                 1.0764,                 1.1093,                0.37188,                0.43573,                0.41818,                0.22749,                 1.4823,                 1.0235,                 1.1763,                 1.7689,                 1.3854,                 1.1927,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.1928,                0.84562,                 1.1165,                 1.4114,                 1.0805,                 1.1145,                0.49636,                0.40827,                 0.4192,                0.23055,                  1.485,                 1.0238,                 1.1755,                 1.7762,                 1.3574,                 1.1991,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.1893,                0.83789,                 1.1155,                 1.4188,                 1.0729,                 1.1126,                0.44837,                0.43612,                0.43375,                0.23789,                 1.4885,                 1.0053,                 1.1717,                 1.7633,                 1.3925,                 1.1839,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.1842,                0.83826,                 1.1132,                 1.4116,                 1.0775,                 1.1103,                0.50394,                0.39572,                0.41824,                0.22555,                 1.4802,                 1.0154,                 1.1704,                 1.7759,                 1.4024,                  1.193,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.1753,                0.82791,                 1.1067,                 1.4054,                 1.0546,                 1.1047,                0.52228,                0.42358,                0.43136,                0.23943,                 1.4927,                 1.0058,                 1.1789,                 1.7915,                 1.3677,                 1.1943,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.1749,                0.82718,                 1.1068,                 1.4057,                  1.059,                 1.1035,                0.48725,                0.45749,                0.43246,                0.23078,                 1.4803,                 1.0277,                  1.172,                 1.7945,                 1.3919,                 1.2016,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.1735,                0.82256,                 1.1077,                 1.3948,                 1.0516,                 1.1054,                0.50292,                0.38602,                0.41828,                0.22552,                 1.4905,                 1.0148,                 1.1767,                 1.7856,                  1.384,                 1.1965,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.1648,                0.81944,                 1.1047,                  1.388,                 1.0487,                 1.1019,                0.44964,                0.42909,                0.43144,                0.23533,                 1.4874,                 1.0087,                 1.1768,                 1.7859,                 1.3339,                  1.189,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.1688,                0.82229,                 1.1017,                 1.3953,                 1.0503,                 1.0994,                0.42675,                0.40983,                0.42755,                0.23206,                 1.4801,                 1.0081,                 1.1741,                 1.7767,                 1.3481,                 1.1985,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.1651,                0.81699,                 1.1053,                 1.3883,                 1.0465,                 1.1004,                0.78237,                0.33839,                0.42934,                0.23195,                 1.4905,                 1.0068,                 1.1797,                 1.7764,                 1.3561,                 1.1964,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.1662,                0.81614,                 1.1038,                 1.3935,                 1.0421,                 1.0989,                 0.4839,                0.41013,                0.43832,                0.24033,                 1.4865,                0.99556,                 1.1837,                 1.7699,                 1.3394,                 1.1977,             0.00024209,             0.00024209,             0.00024209
                     82,                  1.165,                0.81789,                 1.1039,                  1.389,                 1.0445,                 1.1005,                0.51499,                0.36296,                0.42924,                0.23534,                  1.458,                 0.9951,                 1.1687,                 1.7462,                 1.3529,                 1.1806,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.1642,                0.81407,                 1.0983,                 1.3936,                 1.0439,                 1.0958,                0.47711,                0.45448,                0.43466,                0.23754,                 1.4813,                0.99861,                 1.1807,                 1.7586,                 1.3382,                 1.1832,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.1645,                 0.8052,                 1.0968,                  1.392,                 1.0278,                 1.0946,                0.45169,                0.45422,                0.44419,                0.24277,                 1.4864,                0.99331,                 1.1794,                 1.7852,                 1.3345,                  1.196,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.1478,                0.80308,                  1.096,                 1.3707,                 1.0252,                 1.0953,                0.50102,                0.44217,                0.43567,                0.23417,                 1.4807,                0.98285,                 1.1755,                 1.7796,                 1.3591,                 1.1949,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.1562,                0.80375,                 1.1006,                  1.376,                 1.0235,                 1.1001,                0.49594,                0.43445,                 0.4444,                0.24288,                 1.4561,                 0.9854,                 1.1644,                 1.7677,                 1.3497,                 1.1866,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.1538,                0.80089,                 1.0973,                 1.3838,                 1.0214,                 1.0962,                0.53725,                0.43863,                0.45069,                0.24525,                 1.4853,                0.99453,                 1.1796,                 1.7918,                 1.3434,                 1.2021,             0.00017609,             0.00017609,             0.00017609
                     88,                   1.15,                0.79447,                 1.0947,                 1.3721,                 1.0113,                 1.0926,                0.55522,                0.43101,                0.44956,                 0.2406,                 1.4848,                 1.0054,                 1.1797,                  1.787,                 1.3684,                 1.1923,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.1523,                0.80123,                 1.1019,                 1.3695,                 1.0212,                 1.1017,                0.51407,                0.41089,                0.44581,                0.24415,                 1.4764,                 1.0016,                 1.1733,                 1.7777,                 1.3639,                 1.1953,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.1506,                0.79145,                 1.0925,                 1.3787,                  1.012,                 1.0923,                0.52333,                0.41715,                0.45174,                0.24907,                 1.4742,                0.99744,                 1.1729,                 1.7783,                 1.3463,                 1.1937,              0.0001431,              0.0001431,              0.0001431
                     91,                  1.114,                0.74938,                 1.0804,                 1.3143,                0.91718,                  1.085,                0.46748,                0.43257,                0.43957,                 0.2416,                 1.4703,                 1.0049,                 1.1794,                 1.7734,                 1.3487,                 1.2075,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.1022,                0.73185,                 1.0716,                 1.3007,                0.89552,                 1.0786,                 0.4043,                0.45387,                0.43345,                0.24146,                 1.4728,                 1.0016,                 1.1726,                 1.7666,                 1.3565,                 1.1994,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.1021,                0.73512,                 1.0732,                 1.2994,                0.90186,                 1.0796,                0.40302,                0.44725,                 0.4328,                0.24257,                 1.4531,                0.99419,                 1.1667,                 1.7488,                 1.3465,                 1.1856,              0.0001101,              0.0001101,              0.0001101
                     94,                 1.0994,                0.72776,                 1.0733,                  1.291,                0.88806,                 1.0767,                0.70275,                0.36188,                0.43308,                0.23831,                 1.4593,                0.98888,                 1.1684,                 1.7429,                 1.3523,                 1.1833,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.0941,                0.72449,                 1.0715,                 1.2891,                 0.8867,                 1.0759,                 0.4002,                0.44717,                0.44455,                0.24454,                  1.459,                0.98363,                  1.168,                 1.7479,                 1.3487,                 1.1851,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 1.0927,                0.72302,                 1.0677,                 1.2867,                0.88535,                 1.0725,                0.40736,                0.44069,                0.42854,                0.24194,                 1.4491,                0.99074,                 1.1623,                 1.7508,                 1.3574,                 1.1828,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.0908,                0.71899,                 1.0659,                 1.2857,                0.88055,                 1.0712,                 0.3936,                0.40635,                0.43042,                0.24154,                 1.4586,                0.99425,                 1.1675,                  1.751,                 1.3554,                 1.1857,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 1.0832,                 0.7173,                 1.0651,                 1.2759,                0.88023,                 1.0695,                 0.3952,                 0.4508,                0.43867,                0.24419,                 1.4568,                0.98983,                 1.1671,                 1.7484,                 1.3527,                 1.1862,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                 1.0843,                0.71567,                  1.066,                  1.279,                0.87482,                 1.0701,                0.46718,                0.42748,                  0.437,                0.24456,                 1.4601,                0.99226,                 1.1706,                 1.7465,                 1.3596,                 1.1799,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                 1.0852,                 0.7152,                 1.0632,                 1.2749,                0.87126,                 1.0679,                 0.4607,                0.43107,                0.44215,                 0.2462,                 1.4671,                0.98614,                 1.1723,                 1.7504,                 1.3452,                 1.1873,             3.3108e-05,             3.3108e-05,             3.3108e-05
