Frame,Class,Tracker_ID,Speed_1 (m/s),Speed_2 (m/s),Speed_Diff (%),Recalculated_Error%
30,cars,3,42.5,27.5,35.294117647058826,35.294117647058826
36,cars,3,40.97222222222222,23.61111111111111,42.3728813559322,42.3728813559322
42,cars,3,40.47619047619048,20.833333333333336,48.52941176470588,48.529411764705884
42,cars,1,36.30952380952381,23.214285714285715,36.0655737704918,36.065573770491795
72,cars,1,35.76388888888889,19.444444444444446,45.63106796116505,45.63106796116505
150,cars,22,33.7962962962963,25.0,26.027397260273972,26.027397260273975
156,cars,22,34.16666666666667,20.833333333333336,39.02439024390244,39.02439024390244
162,cars,22,33.71212121212121,17.8030303030303,47.19101123595506,47.19101123595506
162,cars,7,32.57575757575757,16.666666666666664,48.837209302325576,48.837209302325576
204,cars,1,35.06944444444444,26.38888888888889,24.752475247524742,24.752475247524746
258,cars,22,33.50694444444444,23.61111111111111,29.53367875647668,29.533678756476682
270,cars,22,33.50694444444444,19.791666666666668,40.93264248704663,40.93264248704663
300,cars,11,31.17816091954023,30.316091954022987,2.7649769585253474,2.7649769585253474
342,buses,16,21.875,12.32638888888889,43.65079365079365,43.65079365079365
348,buses,16,21.52777777777778,22.74305555555556,5.645161290322584,5.6451612903226005
366,buses,16,22.33333333333333,20.0,10.447761194029846,10.447761194029832
372,buses,16,24.0,12.666666666666666,47.22222222222223,47.22222222222223
396,cars,33,22.916666666666668,12.5,45.45454545454546,45.45454545454546
402,cars,33,23.333333333333336,15.0,35.71428571428572,35.71428571428572
408,cars,33,22.916666666666668,18.05555555555556,21.21212121212121,21.212121212121193
414,cars,33,23.80952380952381,26.78571428571429,12.500000000000009,12.500000000000009
444,cars,33,24.65277777777778,28.472222222222225,15.49295774647888,15.492957746478881
450,cars,33,24.35897435897436,20.83333333333333,14.473684210526317,14.473684210526343
456,cars,33,24.404761904761905,15.773809523809524,35.36585365853659,35.36585365853659
462,cars,33,24.444444444444443,12.777777777777777,47.72727272727273,47.72727272727273
486,cars,16,20.83333333333333,10.833333333333334,47.99999999999999,47.999999999999986
510,cars,53,39.0625,30.729166666666668,21.33333333333333,21.33333333333333
516,cars,53,39.35185185185185,27.77777777777777,29.411764705882355,29.41176470588236
522,cars,53,39.583333333333336,25.416666666666668,35.78947368421053,35.78947368421053
528,cars,53,39.01515151515152,23.10606060606061,40.77669902912622,40.77669902912622
534,cars,53,38.88888888888889,21.52777777777778,44.642857142857146,44.642857142857146
